source,compound
Al Jazeera English,-0.323854802259887
Associated Press,0.04000793650793653
BBC News,-0.24267938144329895
Bloomberg,-0.34757142857142853
Business Insider,-0.010395081967213119
CNBC,0.15913626373626372
CNN,0.11204714285714285
Dailymail.co.uk,0.12641457286432156
ESPN Cric Info,0.1613171052631579
Economist.com,-0.006959776536312849
Engadget,0.14895975609756099
Entertainment Weekly,0.22983369565217385
Firstpost.com,0.1257552147239264
Fox News,-0.05771546391752578
Hindustantimes.com,0.14539200000000008
Lifehacker.com,0.2790551401869159
Medical News Today,0.17398571428571433
Metro.co.uk,-0.06664572864321608
Mirror.co.uk,-0.03563352272727272
Ndtv.com,0.24636049382716038
New York Magazine,0.015939500000000006
Reuters,-0.11692210526315792
TechCrunch,0.26591999999999993
Telegraph.co.uk,-0.18155376884422086
The Hindu,-0.09144349999999994
The Irish Times,-0.1967111111111111
The Wall Street Journal,-0.04937969543147209
The Washington Post,-0.04483451776649747
Thejournal.ie,-0.11350502512562816
Time,-0.10384646464646465
USA Today,-0.008809638554216858
Wired,0.16151
